date,time,average_range
14/03/2025,00:00,9.93
14/03/2025,00:30,9.07
14/03/2025,01:00,7.52
14/03/2025,01:30,7.38
14/03/2025,02:00,5.5
14/03/2025,02:30,5.92
14/03/2025,03:00,5.31
14/03/2025,03:30,3.29
14/03/2025,04:00,3.8
14/03/2025,04:30,4.12
14/03/2025,05:00,4.48
14/03/2025,05:30,4.41
14/03/2025,06:00,5.86
14/03/2025,06:30,7.11
14/03/2025,07:00,9.21
14/03/2025,07:30,8.69
14/03/2025,08:00,14.38
14/03/2025,08:30,10.79
14/03/2025,09:00,8.48
14/03/2025,09:30,9
14/03/2025,10:00,9.11
14/03/2025,10:30,14.24
14/03/2025,11:00,11.31
14/03/2025,11:30,8.48
14/03/2025,12:00,11.14
14/03/2025,12:30,10.38
14/03/2025,13:00,11.9
14/03/2025,13:30,37.31
14/03/2025,14:00,45.31
14/03/2025,14:30,31.03
14/03/2025,15:00,23.76
14/03/2025,15:30,23.52
14/03/2025,16:00,25.07
14/03/2025,16:30,22.17
14/03/2025,17:00,23.00
14/03/2025,17:30,23.00
