date, time, average_range
12/03/2025,22:00,13.0
12/03/2025,22:30,10.0
12/03/2025,23:00,11.0
12/03/2025,23:30,10.71
13/03/2025,00:00,11.25
13/03/2025,00:30,11.56
13/03/2025,01:00,11.94
13/03/2025,01:30,13.0
13/03/2025,02:00,13.08
13/03/2025,02:30,11.79
13/03/2025,03:00,13.95
13/03/2025,03:30,11.07
13/03/2025,04:00,12.86
13/03/2025,04:30,12.08
13/03/2025,05:00,16.05
13/03/2025,05:30,13.86
13/03/2025,06:00,17.08
13/03/2025,06:30,18.21
13/03/2025,07:00,18.39
13/03/2025,07:30,24.31
13/03/2025,08:00,33.97
13/03/2025,08:30,21.9
13/03/2025,09:00,20.0
13/03/2025,09:30,19.29
13/03/2025,10:00,18.45
13/03/2025,10:30,19.66
13/03/2025,11:00,31.03
13/03/2025,11:30,27.32
13/03/2025,12:00,35.52
13/03/2025,12:30,52.07
13/03/2025,13:00,30.17
13/03/2025,13:30,26.72
13/03/2025,14:00,34.83
13/03/2025,14:30,26.03
13/03/2025,15:00,20.86
13/03/2025,15:30,37.07
13/03/2025,16:00,20.54
13/03/2025,16:30,27.07
13/03/2025,17:00,20.69
13/03/2025,17:30,20.37
13/03/2025,18:00,16.79
13/03/2025,18:30,13.39
13/03/2025,19:00,13.96
13/03/2025,19:30,17.38
13/03/2025,20:00,12.33
13/03/2025,20:30,13.53
13/03/2025,22:00,13.75
13/03/2025,22:30,12.69
13/03/2025,23:00,11.36
13/03/2025,23:30,15.0
14/03/2025,00:00,16.67
14/03/2025,00:30,14.32
14/03/2025,01:00,13.21
14/03/2025,01:30,16.74
14/03/2025,02:00,12.95
14/03/2025,02:30,12.14
14/03/2025,03:00,13.16
14/03/2025,03:30,12.22
14/03/2025,04:00,10.59
14/03/2025,04:30,11.67
14/03/2025,05:00,12.78
14/03/2025,05:30,12.81
14/03/2025,06:00,15.0
14/03/2025,06:30,16.3
14/03/2025,07:00,22.14
14/03/2025,07:30,21.79
14/03/2025,08:00,22.07
14/03/2025,08:30,17.5
14/03/2025,09:00,18.97
14/03/2025,09:30,25.54
14/03/2025,10:00,25.34
14/03/2025,10:30,59.14
14/03/2025,11:00,43.79
14/03/2025,11:30,33.45
14/03/2025,12:00,28.79
14/03/2025,12:30,30.69
14/03/2025,13:00,26.21
14/03/2025,13:30,36.55
14/03/2025,14:00,32.24
14/03/2025,14:30,24.82
14/03/2025,15:00,26.21
14/03/2025,15:30,29.83
14/03/2025,16:00,21.03
14/03/2025,16:30,19.11
14/03/2025,17:00,15.38
14/03/2025,17:30,15.58
14/03/2025,18:00,16.25
14/03/2025,18:30,16.96
14/03/2025,19:00,13.0
14/03/2025,19:30,13.04
14/03/2025,20:00,10.67
14/03/2025,20:30,14.32
16/03/2025,22:00,16.25
16/03/2025,22:30,15.65
16/03/2025,23:00,11.67
16/03/2025,23:30,13.41
17/03/2025,00:00,14.76
17/03/2025,00:30,14.17
17/03/2025,01:00,14.58
17/03/2025,01:30,15.38
17/03/2025,02:00,14.21
17/03/2025,02:30,12.89
17/03/2025,03:00,15.0
17/03/2025,03:30,12.5
17/03/2025,04:00,20.8
17/03/2025,04:30,11.67
17/03/2025,05:00,12.5
17/03/2025,05:30,13.68
17/03/2025,06:00,15.21
17/03/2025,06:30,13.65
17/03/2025,07:00,21.38
