date, time, average_range
06/03/2025,22:00,11.39
06/03/2025,22:30,6.79
06/03/2025,23:00,9.79
06/03/2025,23:30,8.83
07/03/2025,00:00,9.1
07/03/2025,00:30,5.86
07/03/2025,01:00,7.32
07/03/2025,01:30,6.18
07/03/2025,02:00,6.26
07/03/2025,02:30,6.64
07/03/2025,03:00,5.21
07/03/2025,03:30,5.03
07/03/2025,04:00,6.14
07/03/2025,04:30,5.67
07/03/2025,05:00,8.0
07/03/2025,05:30,6.55
07/03/2025,06:00,8.69
07/03/2025,06:30,10.59
07/03/2025,07:00,17.45
07/03/2025,07:30,14.31
07/03/2025,08:00,12.86
07/03/2025,08:30,8.83
07/03/2025,09:00,9.66
07/03/2025,09:30,7.93
07/03/2025,10:00,9.21
07/03/2025,10:30,7.62
07/03/2025,11:00,10.41
07/03/2025,11:30,12.48
07/03/2025,12:00,12.69
07/03/2025,12:30,56.55
07/03/2025,13:00,29.97
07/03/2025,13:30,56.34
07/03/2025,14:00,42.03
07/03/2025,14:30,55.55
07/03/2025,15:00,36.52
07/03/2025,15:30,31.93
07/03/2025,16:00,40.55
07/03/2025,16:30,46.55
07/03/2025,17:00,46.69
07/03/2025,17:30,36.69
07/03/2025,18:00,32.76
07/03/2025,18:30,32.59
07/03/2025,19:00,32.31
07/03/2025,19:30,42.28
07/03/2025,20:00,15.17
07/03/2025,20:30,5.83
09/03/2025,22:00,32.93
09/03/2025,22:30,13.62
09/03/2025,23:00,21.21
09/03/2025,23:30,10.28
10/03/2025,00:00,15.17
10/03/2025,00:30,9.45
10/03/2025,01:00,7.76
10/03/2025,01:30,7.79
10/03/2025,02:00,5.43
10/03/2025,02:30,5.46
10/03/2025,03:00,5.85
10/03/2025,03:30,5.44
10/03/2025,04:00,5.28
10/03/2025,04:30,5.39
10/03/2025,05:00,5.48
10/03/2025,05:30,6.21
10/03/2025,06:00,6.24
10/03/2025,06:30,5.69
10/03/2025,07:00,9.38
10/03/2025,07:30,8.86
10/03/2025,08:00,19.9
10/03/2025,08:30,21.38
10/03/2025,09:00,19.45
10/03/2025,09:30,18.07
10/03/2025,10:00,16.14
10/03/2025,10:30,13.45
10/03/2025,11:00,18.31
10/03/2025,11:30,12.45
10/03/2025,12:00,15.24
10/03/2025,12:30,14.24
10/03/2025,13:00,17.31
10/03/2025,13:30,56.83
10/03/2025,14:00,38.52
10/03/2025,14:30,36.97
10/03/2025,15:00,36.69
10/03/2025,15:30,32.83
10/03/2025,16:00,30.07
10/03/2025,16:30,30.83
10/03/2025,17:00,29.0
10/03/2025,17:30,29.34
10/03/2025,18:00,29.69
10/03/2025,18:30,28.34
10/03/2025,19:00,40.69
10/03/2025,19:30,55.28
10/03/2025,20:00,19.55
10/03/2025,20:30,7.52
10/03/2025,22:00,20.41
10/03/2025,22:30,12.69
10/03/2025,23:00,15.97
10/03/2025,23:30,19.55
11/03/2025,00:00,16.24
11/03/2025,00:30,23.07
11/03/2025,01:00,19.45
11/03/2025,01:30,14.38
11/03/2025,02:00,21.9
11/03/2025,02:30,13.38
11/03/2025,03:00,18.45
11/03/2025,03:30,8.34
11/03/2025,04:00,9.93
11/03/2025,04:30,6.17
11/03/2025,05:00,8.07
11/03/2025,05:30,8.41
11/03/2025,06:00,10.52
11/03/2025,06:30,11.0
11/03/2025,07:00,14.21
11/03/2025,07:30,15.86
11/03/2025,08:00,18.0
11/03/2025,08:30,12.1
11/03/2025,09:00,13.14
11/03/2025,09:30,11.0
11/03/2025,10:00,12.45
11/03/2025,10:30,8.83
11/03/2025,11:00,11.97
11/03/2025,11:30,11.14
11/03/2025,12:00,16.93
11/03/2025,12:30,17.97
11/03/2025,13:00,16.28
11/03/2025,13:30,56.28
11/03/2025,14:00,60.31
11/03/2025,14:30,43.59
11/03/2025,15:00,46.59
11/03/2025,15:30,40.83
11/03/2025,16:00,35.41
11/03/2025,16:30,36.83
11/03/2025,17:00,28.03
11/03/2025,17:30,37.24
11/03/2025,18:00,42.9
11/03/2025,18:30,44.48
11/03/2025,19:00,50.52
11/03/2025,19:30,47.55
11/03/2025,20:00,20.14
11/03/2025,20:30,11.0
11/03/2025,22:00,14.17
11/03/2025,22:30,8.55
11/03/2025,23:00,9.83
11/03/2025,23:30,8.0
12/03/2025,00:00,9.28
12/03/2025,00:30,7.5
12/03/2025,01:00,7.52
12/03/2025,01:30,7.68
12/03/2025,02:00,6.0
12/03/2025,02:30,4.34
12/03/2025,03:00,5.11
12/03/2025,03:30,5.65
12/03/2025,04:00,4.93
12/03/2025,04:30,4.7
12/03/2025,05:00,4.79
12/03/2025,05:30,4.18
12/03/2025,06:00,4.5
12/03/2025,06:30,7.79
12/03/2025,07:00,11.93
12/03/2025,07:30,9.17
12/03/2025,08:00,16.86
12/03/2025,08:30,13.76
12/03/2025,09:00,10.86
12/03/2025,09:30,8.97
12/03/2025,10:00,8.72
12/03/2025,10:30,9.17
12/03/2025,11:00,9.21
12/03/2025,11:30,10.03
12/03/2025,12:00,12.14
12/03/2025,12:30,54.55
12/03/2025,13:00,21.83
12/03/2025,13:30,56.31
12/03/2025,14:00,42.86
12/03/2025,14:30,34.59
12/03/2025,15:00,34.21
12/03/2025,15:30,31.0
12/03/2025,16:00,29.48
12/03/2025,16:30,31.52
12/03/2025,17:00,28.38
12/03/2025,17:30,29.28
12/03/2025,18:00,27.48
12/03/2025,18:30,25.28
