date, time, average_range
09/03/2025,22:00,246.47
09/03/2025,22:30,111.67
09/03/2025,23:00,257.26999999999998
10/03/2025,00:00,108.0
10/03/2025,00:30,180.0
10/03/2025,01:00,180.0
10/03/2025,01:30,130.0
10/03/2025,02:00,140.0
10/03/2025,02:30,20.0
10/03/2025,03:00,50.0
10/03/2025,07:00,187.5
10/03/2025,08:00,222.0
10/03/2025,08:30,175.0
10/03/2025,09:00,240.0
10/03/2025,09:30,216.66999999999999
10/03/2025,10:00,112.5
10/03/2025,10:30,195.0
10/03/2025,11:00,205.0
10/03/2025,11:30,70.0
10/03/2025,12:00,117.5
10/03/2025,12:30,165.0
10/03/2025,13:00,142.5
10/03/2025,13:30,315.0
10/03/2025,14:00,179.55000000000001
10/03/2025,14:30,170.0
10/03/2025,15:00,186.31999999999999
10/03/2025,15:30,190.94999999999999
10/03/2025,16:00,176.66999999999999
10/03/2025,16:30,139.52000000000001
10/03/2025,17:00,143.68000000000001
10/03/2025,17:30,125.70999999999999
10/03/2025,18:00,155.22
10/03/2025,18:30,150.91
10/03/2025,19:00,180.71000000000001
10/03/2025,19:30,282.26999999999998
10/03/2025,20:00,110.67
10/03/2025,20:30,66.67
10/03/2025,22:00,332.0
10/03/2025,22:30,80.0
10/03/2025,23:00,245.0
10/03/2025,23:30,316.67000000000002
11/03/2025,00:00,108.0
