date, time, average_range
25/03/2024,22:00,10.71
25/03/2024,22:30,10.0
25/03/2024,23:00,12.22
25/03/2024,23:30,10.0
26/03/2024,00:00,10.94
26/03/2024,00:30,10.71
26/03/2024,01:00,13.04
26/03/2024,01:30,11.0
26/03/2024,02:00,11.54
26/03/2024,02:30,11.0
26/03/2024,03:00,10.91
26/03/2024,03:30,11.25
26/03/2024,04:00,10.5
26/03/2024,04:30,10.0
26/03/2024,05:00,11.43
26/03/2024,05:30,12.22
26/03/2024,06:00,12.5
26/03/2024,06:30,11.39
26/03/2024,07:00,12.27
26/03/2024,07:30,15.19
26/03/2024,08:00,15.71
26/03/2024,08:30,13.54
26/03/2024,09:00,15.37
26/03/2024,09:30,13.13
26/03/2024,10:00,14.38
26/03/2024,10:30,13.8
26/03/2024,11:00,14.77
26/03/2024,11:30,12.0
26/03/2024,12:00,14.4
26/03/2024,12:30,17.32
26/03/2024,13:00,16.6
26/03/2024,13:30,16.61
26/03/2024,14:00,15.19
26/03/2024,14:30,17.93
26/03/2024,15:00,15.71
26/03/2024,15:30,17.32
26/03/2024,16:00,16.09
26/03/2024,16:30,12.38
26/03/2024,17:00,13.24
26/03/2024,17:30,10.79
26/03/2024,18:00,10.71
26/03/2024,18:30,11.82
26/03/2024,19:00,11.0
26/03/2024,19:30,10.94
26/03/2024,20:00,10.45
26/03/2024,20:30,10.45
26/03/2024,22:00,15.0
26/03/2024,23:00,11.67
26/03/2024,23:30,10.0
27/03/2024,00:00,11.5
27/03/2024,00:30,10.91
27/03/2024,01:00,12.33
27/03/2024,01:30,11.39
27/03/2024,02:00,10.0
27/03/2024,02:30,11.67
27/03/2024,03:00,11.25
27/03/2024,03:30,10.0
27/03/2024,04:00,10.71
27/03/2024,04:30,10.0
27/03/2024,05:00,10.0
27/03/2024,05:30,10.36
27/03/2024,06:00,12.25
27/03/2024,06:30,13.26
27/03/2024,07:00,13.96
27/03/2024,07:30,15.77
27/03/2024,08:00,15.74
27/03/2024,08:30,12.75
27/03/2024,09:00,15.38
27/03/2024,09:30,13.52
27/03/2024,10:00,12.4
27/03/2024,10:30,13.08
27/03/2024,11:00,12.62
27/03/2024,11:30,14.57
27/03/2024,12:00,14.58
27/03/2024,12:30,12.92
27/03/2024,13:00,14.57
27/03/2024,13:30,16.15
27/03/2024,14:00,15.19
27/03/2024,14:30,15.38
27/03/2024,15:00,13.2
27/03/2024,15:30,13.75
27/03/2024,16:00,13.57
27/03/2024,16:30,11.0
27/03/2024,17:00,12.86
27/03/2024,17:30,11.32
27/03/2024,18:00,11.07
27/03/2024,18:30,11.15
27/03/2024,19:00,10.0
27/03/2024,19:30,11.0
27/03/2024,20:00,12.78
27/03/2024,20:30,10.0
27/03/2024,22:00,22.5
27/03/2024,22:30,14.74
27/03/2024,23:00,12.14
27/03/2024,23:30,10.33
28/03/2024,00:00,12.5
28/03/2024,00:30,12.22
28/03/2024,01:00,12.86
28/03/2024,01:30,11.5
28/03/2024,02:00,12.22
28/03/2024,02:30,11.76
28/03/2024,03:00,10.0
28/03/2024,03:30,10.71
28/03/2024,04:00,11.11
28/03/2024,04:30,10.0
28/03/2024,05:00,10.0
28/03/2024,05:30,10.94
28/03/2024,06:00,10.67
28/03/2024,06:30,14.71
28/03/2024,07:00,16.85
28/03/2024,07:30,13.26
28/03/2024,08:00,16.03
28/03/2024,08:30,12.4
28/03/2024,09:00,14.81
28/03/2024,09:30,12.25
28/03/2024,10:00,13.04
28/03/2024,10:30,14.8
28/03/2024,11:00,12.38
28/03/2024,11:30,12.5
28/03/2024,12:00,11.59
28/03/2024,12:30,19.14
28/03/2024,13:00,22.32
28/03/2024,13:30,20.52
28/03/2024,14:00,21.03
28/03/2024,14:30,17.86
28/03/2024,15:00,17.4
28/03/2024,15:30,22.41
28/03/2024,16:00,18.15
28/03/2024,16:30,13.86
28/03/2024,17:00,14.77
28/03/2024,17:30,12.81
28/03/2024,18:00,11.25
28/03/2024,18:30,12.0
28/03/2024,19:00,11.84
28/03/2024,19:30,12.22
28/03/2024,20:00,11.15
28/03/2024,20:30,10.0
31/03/2024,22:00,23.33
31/03/2024,22:30,12.86
31/03/2024,23:00,11.25
31/03/2024,23:30,11.52
01/04/2024,00:00,13.26
01/04/2024,00:30,13.4
01/04/2024,01:00,12.63
01/04/2024,01:30,12.5
01/04/2024,02:00,10.56
01/04/2024,02:30,10.77
01/04/2024,03:00,11.11
01/04/2024,03:30,11.25
01/04/2024,04:00,11.0
01/04/2024,04:30,10.91
01/04/2024,05:00,10.56
01/04/2024,05:30,10.71
01/04/2024,06:00,10.94
01/04/2024,06:30,11.58
01/04/2024,07:00,12.17
01/04/2024,07:30,12.08
01/04/2024,08:00,12.29
01/04/2024,08:30,11.39
01/04/2024,09:00,11.36
01/04/2024,09:30,11.92
01/04/2024,10:00,11.33
01/04/2024,10:30,10.83
01/04/2024,11:00,11.15
01/04/2024,11:30,12.19
01/04/2024,12:00,15.45
01/04/2024,12:30,16.43
01/04/2024,13:00,13.04
01/04/2024,13:30,15.18
01/04/2024,14:00,32.07
01/04/2024,14:30,17.86
01/04/2024,15:00,16.8
01/04/2024,15:30,14.04
01/04/2024,16:00,11.73
01/04/2024,16:30,12.5
01/04/2024,17:00,12.75
01/04/2024,17:30,11.54
01/04/2024,18:00,10.83
01/04/2024,18:30,11.67
01/04/2024,19:00,12.5
01/04/2024,19:30,10.36
01/04/2024,20:00,10.0
01/04/2024,20:30,10.0
01/04/2024,22:00,11.0
01/04/2024,22:30,11.36
01/04/2024,23:00,11.39
01/04/2024,23:30,12.0
02/04/2024,00:00,13.46
02/04/2024,00:30,12.35
02/04/2024,01:00,14.17
02/04/2024,01:30,12.35
02/04/2024,02:00,11.39
02/04/2024,02:30,10.45
02/04/2024,03:00,11.0
02/04/2024,03:30,10.83
02/04/2024,04:00,10.0
02/04/2024,04:30,10.0
02/04/2024,05:00,11.5
02/04/2024,05:30,12.0
02/04/2024,06:00,14.26
