date, time, average_range
24/03/2024,22:00,73.45
24/03/2024,22:30,32.78
24/03/2024,23:00,36.15
24/03/2024,23:30,28.57
25/03/2024,00:00,38.85
25/03/2024,00:30,32.27
25/03/2024,01:00,40.8
25/03/2024,01:30,37.78
25/03/2024,02:00,41.11
25/03/2024,02:30,28.85
25/03/2024,03:00,27.22
25/03/2024,03:30,22.5
25/03/2024,04:00,23.33
25/03/2024,04:30,22.5
25/03/2024,05:00,31.05
25/03/2024,05:30,28.82
25/03/2024,06:00,38.57
25/03/2024,06:30,22.78
25/03/2024,07:00,48.28
25/03/2024,07:30,49.29
25/03/2024,08:00,56.55
25/03/2024,08:30,52.76
25/03/2024,09:00,46.79
25/03/2024,09:30,53.93
25/03/2024,10:00,55.86
25/03/2024,10:30,39.31
25/03/2024,11:00,52.07
25/03/2024,11:30,40.69
25/03/2024,12:00,54.14
25/03/2024,12:30,55.52
25/03/2024,13:00,59.31
25/03/2024,13:30,228.97
25/03/2024,14:00,113.79000000000001
25/03/2024,14:30,103.79000000000001
25/03/2024,15:00,92.06999999999999
25/03/2024,15:30,71.38
25/03/2024,16:00,64.83
25/03/2024,16:30,65.86
25/03/2024,17:00,66.90000000000001
25/03/2024,17:30,46.9
25/03/2024,18:00,52.07
25/03/2024,18:30,53.45
25/03/2024,19:00,75.86
25/03/2024,19:30,82.41
25/03/2024,20:00,41.11
25/03/2024,20:30,34.74
25/03/2024,22:00,43.33
25/03/2024,22:30,33.81
25/03/2024,23:00,32.61
25/03/2024,23:30,30.0
26/03/2024,00:00,30.4
26/03/2024,00:30,37.78
26/03/2024,01:00,37.04
26/03/2024,01:30,35.0
26/03/2024,02:00,28.24
26/03/2024,02:30,30.0
26/03/2024,03:00,26.82
26/03/2024,03:30,30.0
26/03/2024,04:00,24.38
26/03/2024,04:30,31.11
26/03/2024,05:00,30.0
26/03/2024,05:30,24.21
26/03/2024,06:00,26.5
26/03/2024,06:30,33.33
26/03/2024,07:00,47.14
26/03/2024,07:30,36.15
26/03/2024,08:00,46.43
26/03/2024,08:30,50.37
26/03/2024,09:00,59.66
26/03/2024,09:30,65.70999999999999
26/03/2024,10:00,46.07
26/03/2024,10:30,52.5
26/03/2024,11:00,54.48
26/03/2024,11:30,41.38
26/03/2024,12:00,70.34
26/03/2024,12:30,111.72
26/03/2024,13:00,85.17
26/03/2024,13:30,204.83000000000001
26/03/2024,14:00,144.13999999999999
26/03/2024,14:30,121.03
26/03/2024,15:00,92.76000000000001
26/03/2024,15:30,88.62
26/03/2024,16:00,73.45
26/03/2024,16:30,67.59
26/03/2024,17:00,64.14
26/03/2024,17:30,65.17
26/03/2024,18:00,56.21
26/03/2024,18:30,57.24
26/03/2024,19:00,62.76
26/03/2024,19:30,118.62
26/03/2024,20:00,55.71
26/03/2024,20:30,32.22
26/03/2024,22:00,34.12
26/03/2024,22:30,24.44
26/03/2024,23:00,26.0
26/03/2024,23:30,26.67
27/03/2024,00:00,26.67
27/03/2024,00:30,30.0
27/03/2024,01:00,29.57
27/03/2024,01:30,31.48
27/03/2024,02:00,23.48
27/03/2024,02:30,27.0
27/03/2024,03:00,27.89
27/03/2024,03:30,26.0
27/03/2024,04:00,30.0
27/03/2024,04:30,23.33
27/03/2024,05:00,26.82
27/03/2024,05:30,34.62
27/03/2024,06:00,33.81
27/03/2024,06:30,31.43
27/03/2024,07:00,39.31
27/03/2024,07:30,31.25
27/03/2024,08:00,61.43
27/03/2024,08:30,44.83
27/03/2024,09:00,45.52
27/03/2024,09:30,42.76
27/03/2024,10:00,64.48
27/03/2024,10:30,49.26
27/03/2024,11:00,49.66
27/03/2024,11:30,36.9
27/03/2024,12:00,58.62
27/03/2024,12:30,58.97
27/03/2024,13:00,60.34
27/03/2024,13:30,216.21000000000001
27/03/2024,14:00,180.69
27/03/2024,14:30,138.28
27/03/2024,15:00,111.38
27/03/2024,15:30,90.69
27/03/2024,16:00,86.55
27/03/2024,16:30,80.34
27/03/2024,17:00,91.38
27/03/2024,17:30,64.83
27/03/2024,18:00,72.41
27/03/2024,18:30,63.45
27/03/2024,19:00,85.17
27/03/2024,19:30,129.31
27/03/2024,20:00,79.66
27/03/2024,20:30,47.78
27/03/2024,22:00,110.69
27/03/2024,22:30,45.56
27/03/2024,23:00,45.93
27/03/2024,23:30,45.19
28/03/2024,00:00,48.93
28/03/2024,00:30,39.2
28/03/2024,01:00,38.85
28/03/2024,01:30,40.0
28/03/2024,02:00,32.0
28/03/2024,02:30,37.39
28/03/2024,03:00,26.0
28/03/2024,03:30,35.42
28/03/2024,04:00,27.5
28/03/2024,04:30,26.11
28/03/2024,05:00,33.91
28/03/2024,05:30,34.0
28/03/2024,06:00,28.7
28/03/2024,06:30,26.25
28/03/2024,07:00,37.5
28/03/2024,07:30,40.8
28/03/2024,08:00,62.14
28/03/2024,08:30,43.93
28/03/2024,09:00,47.24
28/03/2024,09:30,45.36
28/03/2024,10:00,47.93
28/03/2024,10:30,47.5
28/03/2024,11:00,58.62
28/03/2024,11:30,54.48
28/03/2024,12:00,92.76000000000001
28/03/2024,12:30,146.21000000000001
28/03/2024,13:00,81.38
28/03/2024,13:30,204.83000000000001
28/03/2024,14:00,181.38
28/03/2024,14:30,121.03
28/03/2024,15:00,113.45
28/03/2024,15:30,95.52
28/03/2024,16:00,94.48
28/03/2024,16:30,99.31
28/03/2024,17:00,98.28
28/03/2024,17:30,81.38
28/03/2024,18:00,89.66
28/03/2024,18:30,79.66
28/03/2024,19:00,85.86
28/03/2024,19:30,116.90000000000001
28/03/2024,20:00,70.69
28/03/2024,20:30,32.59
31/03/2024,22:00,176.55000000000001
31/03/2024,22:30,44.55
31/03/2024,23:00,42.76
31/03/2024,23:30,61.03
01/04/2024,00:00,59.66
01/04/2024,00:30,36.55
01/04/2024,01:00,30.71
01/04/2024,01:30,36.4
01/04/2024,02:00,33.7
01/04/2024,02:30,23.33
01/04/2024,03:00,23.18
01/04/2024,03:30,30.0
01/04/2024,04:00,26.67
01/04/2024,04:30,23.68
01/04/2024,05:00,27.73
01/04/2024,05:30,25.91
01/04/2024,06:00,32.27
01/04/2024,06:30,27.31
01/04/2024,07:00,40.38
01/04/2024,07:30,48.15
01/04/2024,08:00,50.69
01/04/2024,08:30,40.38
01/04/2024,09:00,38.0
01/04/2024,09:30,30.0
01/04/2024,10:00,43.21
01/04/2024,10:30,34.4
01/04/2024,11:00,50.34
01/04/2024,11:30,48.97
01/04/2024,12:00,83.09999999999999
01/04/2024,12:30,63.45
01/04/2024,13:00,77.59
01/04/2024,13:30,250.34
01/04/2024,14:00,198.97
01/04/2024,14:30,133.78999999999999
01/04/2024,15:00,124.14
01/04/2024,15:30,91.72
01/04/2024,16:00,118.62
01/04/2024,16:30,71.03
01/04/2024,17:00,87.23999999999999
01/04/2024,17:30,77.93000000000001
01/04/2024,18:00,70.34
01/04/2024,18:30,51.03
01/04/2024,19:00,63.45
01/04/2024,19:30,100.34
01/04/2024,20:00,45.86
01/04/2024,20:30,36.79
01/04/2024,22:00,39.23
01/04/2024,22:30,38.5
01/04/2024,23:00,43.57
01/04/2024,23:30,45.6
02/04/2024,00:00,47.14
02/04/2024,00:30,34.23
02/04/2024,01:00,33.46
02/04/2024,01:30,33.48
02/04/2024,02:00,37.5
02/04/2024,02:30,26.92
02/04/2024,03:00,27.37
02/04/2024,03:30,29.55
02/04/2024,04:00,29.47
02/04/2024,04:30,28.0
02/04/2024,05:00,33.0
02/04/2024,05:30,27.37
02/04/2024,06:00,36.67
02/04/2024,06:30,37.93
02/04/2024,07:00,67.23999999999999
02/04/2024,07:30,49.31
02/04/2024,08:00,78.28
02/04/2024,08:30,58.28
02/04/2024,09:00,41.72
02/04/2024,09:30,69.31
02/04/2024,10:00,80.69
02/04/2024,10:30,71.72
02/04/2024,11:00,65.52
02/04/2024,11:30,62.76
02/04/2024,12:00,69.31
02/04/2024,12:30,116.20999999999999
02/04/2024,13:00,108.28
02/04/2024,13:30,253.44999999999999
02/04/2024,14:00,194.47999999999999
02/04/2024,14:30,143.44999999999999
02/04/2024,15:00,102.41
02/04/2024,15:30,88.97
02/04/2024,16:00,86.90000000000001
