date, time, average_range
29/04/2025,23:00,21.71
29/04/2025,23:30,16.74
30/04/2025,00:00,18.9
30/04/2025,00:30,17.38
30/04/2025,01:00,22.13
30/04/2025,01:30,18.38
30/04/2025,02:00,24.08
30/04/2025,02:30,20.63
30/04/2025,03:00,21.67
30/04/2025,03:30,19.58
30/04/2025,04:00,17.48
30/04/2025,04:30,19.06
30/04/2025,05:00,15.95
30/04/2025,05:30,14.55
30/04/2025,06:00,15.68
30/04/2025,06:30,17.05
30/04/2025,07:00,17.32
30/04/2025,07:30,16.16
30/04/2025,08:00,17.2
30/04/2025,08:30,16.68
30/04/2025,09:00,35.28
30/04/2025,09:30,21.31
30/04/2025,10:00,21.6
30/04/2025,10:30,21.31
30/04/2025,11:00,21.0
30/04/2025,11:30,19.42
30/04/2025,12:00,20.82
30/04/2025,12:30,18.64
30/04/2025,13:00,32.55
30/04/2025,13:30,34.83
30/04/2025,14:00,28.69
30/04/2025,14:30,33.83
30/04/2025,15:00,34.52
30/04/2025,15:30,35.1
30/04/2025,16:00,26.24
30/04/2025,16:30,25.79
30/04/2025,17:00,19.64
30/04/2025,17:30,18.35
30/04/2025,18:00,17.89
30/04/2025,18:30,17.04
30/04/2025,19:00,19.83
30/04/2025,19:30,15.1
30/04/2025,20:00,16.8
30/04/2025,20:30,18.24
30/04/2025,21:00,18.57
30/04/2025,21:30,20.96
30/04/2025,23:00,29.96
30/04/2025,23:30,24.18
01/05/2025,00:00,27.7
01/05/2025,00:30,22.24
