datetime, rank
24/06/2025 00:01:00,1.91
24/06/2025 00:06:00,0.27
24/06/2025 00:07:00,0.30
24/06/2025 00:08:00,0.15
24/06/2025 00:09:00,0.25
24/06/2025 00:10:00,0.69
24/06/2025 00:11:00,1.50
24/06/2025 00:12:00,2.87
24/06/2025 00:13:00,2.68
24/06/2025 00:14:00,3.33
24/06/2025 00:15:00,6.67
24/06/2025 00:16:00,8.38
24/06/2025 00:17:00,20.56
24/06/2025 00:19:00,40.27
24/06/2025 00:20:00,41.79
24/06/2025 00:21:00,33.07
24/06/2025 00:23:00,43.14
24/06/2025 00:25:00,35.85
24/06/2025 00:26:00,32.49
24/06/2025 00:27:00,28.55
24/06/2025 00:28:00,30.27
24/06/2025 00:31:00,25.77
24/06/2025 00:32:00,19.47
24/06/2025 00:33:00,20.42
24/06/2025 00:35:00,20.27
24/06/2025 00:36:00,20.76
24/06/2025 00:38:00,14.21
24/06/2025 00:40:00,13.26
24/06/2025 00:44:00,13.97
24/06/2025 00:47:00,11.50
24/06/2025 00:50:00,14.95
24/06/2025 00:51:00,16.78
24/06/2025 00:52:00,19.00
24/06/2025 00:54:00,17.62
24/06/2025 00:55:00,14.36
24/06/2025 00:56:00,13.58
24/06/2025 00:58:00,21.03
24/06/2025 01:00:00,25.06
24/06/2025 01:01:00,34.93
24/06/2025 01:02:00,28.06
24/06/2025 01:03:00,21.63
24/06/2025 01:04:00,30.01
24/06/2025 01:05:00,38.39
24/06/2025 01:06:00,49.63
24/06/2025 01:07:00,47.95
24/06/2025 01:08:00,48.09
24/06/2025 01:09:00,49.62
24/06/2025 01:10:00,53.24
24/06/2025 01:11:00,59.01
24/06/2025 01:12:00,85.73
24/06/2025 01:13:00,87.86
24/06/2025 01:14:00,90.67
24/06/2025 01:15:00,51.63
24/06/2025 01:16:00,48.92
24/06/2025 01:17:00,53.01
24/06/2025 01:18:00,55.39
24/06/2025 01:19:00,48.65
24/06/2025 01:21:00,51.69
24/06/2025 01:22:00,53.95
24/06/2025 01:23:00,52.78
24/06/2025 01:24:00,51.41
24/06/2025 01:25:00,48.88
24/06/2025 01:27:00,47.39
24/06/2025 01:28:00,47.49
24/06/2025 01:29:00,42.03
24/06/2025 01:30:00,39.30
24/06/2025 01:31:00,40.32
24/06/2025 01:32:00,42.02
24/06/2025 01:33:00,39.51
24/06/2025 01:34:00,31.84
24/06/2025 01:36:00,35.49
24/06/2025 01:37:00,32.69
24/06/2025 01:38:00,29.74
24/06/2025 01:39:00,30.99
24/06/2025 01:41:00,32.29
24/06/2025 01:42:00,31.30
24/06/2025 01:43:00,27.14
24/06/2025 01:44:00,28.25
24/06/2025 01:45:00,29.04
24/06/2025 01:46:00,33.51
24/06/2025 01:47:00,30.77
24/06/2025 01:48:00,33.70
24/06/2025 01:49:00,58.91
24/06/2025 01:50:00,37.74
24/06/2025 01:51:00,33.34
24/06/2025 01:52:00,42.75
24/06/2025 01:53:00,37.41
24/06/2025 01:54:00,33.77
24/06/2025 01:55:00,36.66
24/06/2025 01:56:00,53.81
24/06/2025 01:57:00,60.82
24/06/2025 01:58:00,49.42
24/06/2025 01:59:00,42.26
24/06/2025 02:00:00,40.79
24/06/2025 02:01:00,38.63
24/06/2025 02:02:00,36.33
24/06/2025 02:03:00,41.43
24/06/2025 02:04:00,39.55
24/06/2025 02:06:00,32.73
24/06/2025 02:08:00,39.25
24/06/2025 02:10:00,40.28
24/06/2025 02:11:00,34.52
24/06/2025 02:12:00,37.60
24/06/2025 02:13:00,38.42
24/06/2025 02:14:00,41.27
24/06/2025 02:15:00,37.02
24/06/2025 02:19:00,30.61
24/06/2025 02:20:00,39.58
24/06/2025 02:22:00,39.19
24/06/2025 02:23:00,42.50
24/06/2025 02:24:00,40.58
24/06/2025 02:25:00,47.63
24/06/2025 02:26:00,44.28
24/06/2025 02:27:00,49.09
24/06/2025 02:28:00,50.42
24/06/2025 02:29:00,40.75
24/06/2025 02:30:00,41.79
24/06/2025 02:31:00,41.71
24/06/2025 02:37:00,44.22
24/06/2025 02:38:00,37.68
24/06/2025 02:40:00,40.99
24/06/2025 02:42:00,39.76
24/06/2025 02:43:00,36.42
24/06/2025 02:44:00,32.91
24/06/2025 02:45:00,31.33
24/06/2025 02:46:00,28.50
24/06/2025 02:51:00,31.56
24/06/2025 02:52:00,37.34
24/06/2025 02:53:00,36.74
24/06/2025 02:54:00,33.82
24/06/2025 02:55:00,37.12
24/06/2025 02:56:00,39.44
24/06/2025 02:57:00,36.02
24/06/2025 02:59:00,37.38
24/06/2025 03:01:00,43.92
24/06/2025 03:02:00,40.49
24/06/2025 03:03:00,39.90
24/06/2025 03:06:00,50.35
24/06/2025 03:07:00,46.70
24/06/2025 03:09:00,49.85
24/06/2025 03:10:00,50.75
24/06/2025 03:11:00,64.04
24/06/2025 03:12:00,67.46
24/06/2025 03:16:00,56.82
24/06/2025 03:17:00,55.66
24/06/2025 03:18:00,52.62
24/06/2025 03:19:00,57.97
24/06/2025 03:20:00,56.59
24/06/2025 03:21:00,49.78
24/06/2025 03:22:00,56.51
24/06/2025 03:23:00,54.89
24/06/2025 03:24:00,59.13
24/06/2025 03:25:00,57.21
24/06/2025 03:26:00,49.57
24/06/2025 03:27:00,53.41
24/06/2025 03:28:00,45.46
24/06/2025 03:29:00,38.68
24/06/2025 03:30:00,34.78
24/06/2025 03:32:00,37.71
24/06/2025 03:33:00,38.60
24/06/2025 03:34:00,41.99
24/06/2025 03:35:00,37.94
24/06/2025 03:37:00,51.91
24/06/2025 03:38:00,57.56
24/06/2025 03:39:00,65.79
24/06/2025 03:40:00,74.53
24/06/2025 03:41:00,78.14
24/06/2025 03:42:00,71.23
24/06/2025 03:43:00,66.93
24/06/2025 03:44:00,93.00
24/06/2025 03:45:00,95.60
24/06/2025 03:46:00,102.73
24/06/2025 03:47:00,123.86
24/06/2025 03:50:00,98.49
24/06/2025 03:52:00,121.28
24/06/2025 03:53:00,109.43
24/06/2025 03:54:00,101.58
24/06/2025 03:55:00,88.23
24/06/2025 03:56:00,61.82
24/06/2025 03:57:00,73.18
24/06/2025 03:58:00,61.02
24/06/2025 04:01:00,59.22
24/06/2025 04:02:00,59.51
