datetime, rank
30/06/2025 00:00:00,0.35
30/06/2025 00:01:00,0.49
30/06/2025 00:02:00,0.28
30/06/2025 00:03:00,0.21
30/06/2025 00:04:00,0.21
30/06/2025 00:05:00,0.65
30/06/2025 00:06:00,0.71
30/06/2025 00:07:00,0.65
30/06/2025 00:08:00,0.57
30/06/2025 00:09:00,0.58
30/06/2025 00:10:00,0.56
30/06/2025 00:11:00,0.74
30/06/2025 00:12:00,0.72
30/06/2025 00:13:00,0.74
30/06/2025 00:14:00,0.75
30/06/2025 00:15:00,0.73
30/06/2025 00:16:00,0.70
30/06/2025 00:17:00,0.68
30/06/2025 00:18:00,0.67
30/06/2025 00:19:00,0.63
30/06/2025 00:20:00,0.62
30/06/2025 00:21:00,0.60
30/06/2025 00:22:00,0.59
30/06/2025 00:23:00,0.57
30/06/2025 00:24:00,0.57
30/06/2025 00:25:00,0.55
30/06/2025 00:26:00,0.54
30/06/2025 00:27:00,0.53
30/06/2025 00:28:00,0.51
30/06/2025 00:29:00,0.50
30/06/2025 00:30:00,0.48
30/06/2025 00:31:00,0.48
30/06/2025 00:32:00,0.48
30/06/2025 00:33:00,0.47
30/06/2025 00:34:00,0.47
30/06/2025 00:35:00,0.46
30/06/2025 00:36:00,0.45
30/06/2025 00:39:00,0.42
30/06/2025 00:40:00,0.42
30/06/2025 00:41:00,0.41
30/06/2025 00:42:00,0.40
30/06/2025 00:43:00,0.40
30/06/2025 00:44:00,0.39
30/06/2025 00:45:00,0.38
30/06/2025 00:47:00,0.37
30/06/2025 00:48:00,0.38
30/06/2025 00:49:00,0.37
30/06/2025 00:50:00,0.36
30/06/2025 00:51:00,0.37
30/06/2025 00:52:00,0.36
30/06/2025 00:54:00,0.35
30/06/2025 00:56:00,0.34
30/06/2025 00:57:00,0.34
30/06/2025 00:58:00,0.34
30/06/2025 00:59:00,0.34
30/06/2025 01:00:00,0.33
30/06/2025 01:01:00,0.35
30/06/2025 01:02:00,0.36
30/06/2025 01:03:00,0.36
30/06/2025 01:04:00,0.36
30/06/2025 01:05:00,0.35
30/06/2025 01:06:00,0.35
30/06/2025 01:07:00,0.35
30/06/2025 01:09:00,0.34
30/06/2025 01:10:00,0.34
30/06/2025 01:11:00,0.34
30/06/2025 01:12:00,0.34
30/06/2025 01:13:00,0.33
30/06/2025 01:14:00,0.41
30/06/2025 01:15:00,0.41
30/06/2025 01:16:00,0.41
30/06/2025 01:17:00,0.52
30/06/2025 01:18:00,0.52
30/06/2025 01:19:00,0.53
30/06/2025 01:20:00,0.53
30/06/2025 01:21:00,0.53
30/06/2025 01:23:00,0.52
30/06/2025 01:24:00,0.52
30/06/2025 01:25:00,0.52
30/06/2025 01:26:00,0.53
30/06/2025 01:27:00,0.53
30/06/2025 01:28:00,0.53
30/06/2025 01:29:00,0.53
30/06/2025 01:30:00,0.54
30/06/2025 01:31:00,0.54
30/06/2025 01:32:00,0.55
30/06/2025 01:33:00,0.54
30/06/2025 01:34:00,0.54
30/06/2025 01:36:00,0.53
30/06/2025 01:38:00,0.51
30/06/2025 01:39:00,0.51
30/06/2025 01:41:00,0.51
30/06/2025 01:42:00,0.51
30/06/2025 01:43:00,0.51
30/06/2025 01:44:00,0.51
30/06/2025 01:45:00,0.50
30/06/2025 01:47:00,0.49
30/06/2025 01:48:00,0.49
30/06/2025 01:49:00,0.49
30/06/2025 01:51:00,0.48
30/06/2025 01:52:00,0.48
30/06/2025 01:53:00,0.48
30/06/2025 01:56:00,0.47
30/06/2025 01:57:00,0.47
30/06/2025 01:59:00,0.46
30/06/2025 02:00:00,0.45
30/06/2025 02:01:00,0.46
30/06/2025 02:02:00,0.46
30/06/2025 02:03:00,0.46
30/06/2025 02:04:00,0.46
30/06/2025 02:05:00,0.47
30/06/2025 02:06:00,0.47
30/06/2025 02:07:00,0.47
30/06/2025 02:08:00,0.47
30/06/2025 02:09:00,0.47
30/06/2025 02:10:00,0.46
30/06/2025 02:11:00,0.47
30/06/2025 02:12:00,0.47
30/06/2025 02:13:00,0.46
30/06/2025 02:15:00,0.46
30/06/2025 02:19:00,0.45
30/06/2025 02:20:00,0.45
30/06/2025 02:21:00,0.45
30/06/2025 02:22:00,0.45
30/06/2025 02:23:00,0.44
30/06/2025 02:24:00,0.44
30/06/2025 02:25:00,0.44
30/06/2025 02:28:00,0.44
30/06/2025 02:29:00,0.44
30/06/2025 02:31:00,0.43
30/06/2025 02:32:00,0.43
30/06/2025 02:33:00,0.43
30/06/2025 02:34:00,0.43
30/06/2025 02:38:00,0.42
30/06/2025 02:42:00,0.41
30/06/2025 02:43:00,0.41
30/06/2025 02:44:00,0.40
30/06/2025 02:47:00,0.40
30/06/2025 02:48:00,0.40
30/06/2025 02:49:00,0.40
30/06/2025 02:50:00,0.40
30/06/2025 02:51:00,0.40
30/06/2025 02:52:00,0.40
30/06/2025 02:53:00,0.40
