datetime,CL,GC,HG,HO,NG,PL
2025-07-10 00:00,0.01,0.04,,0.00,,0.07
2025-07-10 00:01,0.01,0.18,,,0.01,0.09
2025-07-10 00:02,0.01,0.24,,0.16,0.01,0.12
2025-07-10 00:03,0.01,0.41,,0.30,0.01,0.12
2025-07-10 00:04,,0.82,0.04,,0.01,
2025-07-10 00:05,,0.82,0.08,0.47,0.03,0.15
2025-07-10 00:06,0.02,0.82,,0.79,0.03,
2025-07-10 00:07,,0.82,0.23,0.79,,0.28
2025-07-10 00:08,,0.82,0.23,,0.03,0.28
2025-07-10 00:09,,0.82,,,,0.28
2025-07-10 00:10,,0.82,,,,0.28
2025-07-10 00:11,,0.82,,,,
2025-07-10 00:12,0.04,0.82,0.25,,,
2025-07-10 00:13,,0.82,,,0.03,
2025-07-10 00:14,0.06,0.82,,,0.03,0.28
2025-07-10 00:15,0.11,0.82,0.28,,,0.28
2025-07-10 00:16,,0.82,0.32,,0.03,0.28
2025-07-10 00:17,,0.82,0.32,,0.04,
2025-07-10 00:18,,0.82,0.35,,0.04,0.28
2025-07-10 00:19,0.11,0.82,0.37,,,
2025-07-10 00:20,0.11,0.82,0.37,0.79,0.04,
2025-07-10 00:21,,0.82,0.37,,0.04,
2025-07-10 00:22,0.11,0.82,,,,0.28
2025-07-10 00:23,,0.82,0.37,0.79,,0.28
2025-07-10 00:24,,0.82,0.37,,,0.28
2025-07-10 00:25,0.11,0.82,,,,0.28
2025-07-10 00:26,0.11,0.82,0.37,,0.04,0.28
2025-07-10 00:27,,0.82,,,0.04,0.28
2025-07-10 00:28,,0.82,,,0.05,0.28
2025-07-10 00:29,,0.82,,,0.05,
2025-07-10 00:30,0.11,0.82,,,0.05,0.37
2025-07-10 00:31,,0.82,,,,0.37
2025-07-10 00:32,0.11,0.82,0.37,,0.05,0.47
2025-07-10 00:33,,0.82,,,0.05,0.47
2025-07-10 00:34,,0.82,,,,
2025-07-10 00:35,,0.82,,,,0.47
2025-07-10 00:36,,0.82,,,0.05,0.47
2025-07-10 00:37,0.12,0.82,0.37,,0.05,0.47
2025-07-10 00:38,,0.82,0.37,,0.05,
2025-07-10 00:39,,0.82,,,0.05,
2025-07-10 00:40,,0.82,0.37,,,
2025-07-10 00:41,,0.82,0.37,,0.05,
2025-07-10 00:42,0.12,0.82,,,0.05,0.47
2025-07-10 00:43,,0.82,,,,
2025-07-10 00:44,0.12,0.82,0.37,,,0.47
2025-07-10 00:45,,0.82,0.40,,0.05,
2025-07-10 00:46,,0.82,,,,0.47
2025-07-10 00:47,,0.82,0.40,,,
2025-07-10 00:48,0.12,0.82,,,,0.47
2025-07-10 00:49,0.14,0.82,,,,
2025-07-10 00:50,,0.82,,,0.05,0.47
2025-07-10 00:51,,0.82,0.40,,0.05,
2025-07-10 00:52,0.14,0.82,0.50,,0.05,0.47
2025-07-10 00:53,0.14,0.82,0.50,,0.30,0.49
2025-07-10 00:54,,0.82,0.50,,0.30,0.49
2025-07-10 00:55,,0.82,,,0.30,
2025-07-10 00:56,0.14,0.82,,,0.30,0.49
2025-07-10 00:57,0.14,0.82,0.50,0.79,0.30,0.49
2025-07-10 00:58,,,,,0.30,0.49
2025-07-10 00:59,0.14,0.82,0.70,,0.30,
2025-07-10 01:00,,0.82,0.73,,0.30,0.49
2025-07-10 01:01,0.15,0.82,1.07,0.79,0.30,
2025-07-10 01:02,0.20,0.82,1.18,1.08,0.30,0.49
2025-07-10 01:03,0.20,0.82,1.18,,0.36,0.49
2025-07-10 01:04,0.20,0.82,1.18,1.08,0.36,0.49
2025-07-10 01:05,,0.82,,,0.36,
2025-07-10 01:06,0.20,0.82,1.18,,0.36,0.49
2025-07-10 01:07,0.20,0.82,1.21,,0.36,0.49
2025-07-10 01:08,0.21,0.82,1.43,,0.36,0.49
2025-07-10 01:09,0.21,0.82,1.66,1.08,0.36,0.49
2025-07-10 01:10,0.25,0.82,1.66,,0.36,0.49
2025-07-10 01:11,0.25,0.82,1.66,,0.36,0.49
2025-07-10 01:12,,0.82,1.66,,0.36,
2025-07-10 01:13,,0.82,1.79,,0.36,0.61
2025-07-10 01:14,0.28,0.82,1.96,1.42,0.36,0.77
2025-07-10 01:15,,0.82,1.96,,0.36,0.77
2025-07-10 01:16,0.28,0.82,1.96,1.42,0.36,0.89
2025-07-10 01:17,0.28,0.82,1.96,,0.36,
2025-07-10 01:18,,0.82,1.96,,0.36,0.89
2025-07-10 01:19,,0.82,1.96,1.42,0.36,
2025-07-10 01:20,0.28,0.82,1.96,,0.36,0.89
2025-07-10 01:21,0.28,0.82,1.96,,0.36,0.89
2025-07-10 01:22,0.28,0.82,,,0.36,
2025-07-10 01:23,0.28,0.82,1.96,,0.36,0.89
2025-07-10 01:24,0.28,0.82,1.96,,0.36,0.89
2025-07-10 01:25,0.28,0.82,1.96,,,0.89
2025-07-10 01:26,0.28,0.82,1.96,,0.36,0.89
2025-07-10 01:27,0.28,0.85,,,0.36,0.89
2025-07-10 01:28,,0.85,1.96,,0.36,0.89
2025-07-10 01:29,,0.85,1.96,,,0.89
2025-07-10 01:30,0.28,0.85,14.34,,0.36,0.89
2025-07-10 01:31,0.28,0.85,14.34,1.42,0.36,0.89
2025-07-10 01:32,0.28,0.85,24.04,,0.36,0.89
2025-07-10 01:33,0.28,1.05,24.04,,0.36,0.89
2025-07-10 01:34,0.28,1.05,24.04,,0.36,0.96
2025-07-10 01:35,0.28,1.05,24.04,,0.36,0.96
2025-07-10 01:36,0.28,1.05,24.04,,0.36,0.96
2025-07-10 01:37,0.28,1.05,24.04,,0.36,0.96
2025-07-10 01:38,0.28,1.05,24.04,,0.36,0.96
2025-07-10 01:39,0.28,1.05,24.04,,0.36,0.96
2025-07-10 01:40,0.28,1.05,24.04,,0.36,0.96
2025-07-10 01:41,0.28,1.05,24.04,1.42,0.36,
2025-07-10 01:42,,1.11,24.04,,0.36,0.96
2025-07-10 01:43,,1.55,24.04,,0.36,0.96
2025-07-10 01:44,0.28,1.55,24.04,1.42,0.36,0.96
2025-07-10 01:45,0.28,1.55,24.04,1.42,,0.96
2025-07-10 01:46,,1.55,24.04,,0.36,0.96
2025-07-10 01:47,0.28,1.55,24.04,,0.36,0.96
2025-07-10 01:48,0.28,1.55,24.04,,0.36,0.96
2025-07-10 01:49,0.28,1.55,24.04,,0.36,0.96
2025-07-10 01:50,,1.55,24.04,,0.36,0.96
2025-07-10 01:51,,1.55,24.04,,0.36,1.42
2025-07-10 01:52,0.28,1.55,24.04,,0.36,1.42
2025-07-10 01:53,0.28,1.55,24.04,,0.36,1.42
2025-07-10 01:54,0.28,1.55,25.15,,0.36,1.42
2025-07-10 01:55,,1.55,29.62,,0.36,1.42
2025-07-10 01:56,0.28,1.55,29.62,,0.36,1.42
2025-07-10 01:57,,1.55,29.62,,0.36,1.42
2025-07-10 01:58,,1.55,29.62,,0.36,1.42
2025-07-10 01:59,0.28,1.55,29.62,1.42,0.36,1.42
2025-07-10 02:00,,1.55,29.62,,0.36,
2025-07-10 02:01,0.28,1.55,29.62,1.42,0.36,1.42
2025-07-10 02:02,0.28,1.55,29.62,,0.36,1.42
2025-07-10 02:03,,1.55,29.62,,0.36,1.42
2025-07-10 02:04,0.28,1.55,29.62,,0.36,1.42
2025-07-10 02:05,0.28,1.55,29.62,,0.36,1.42
2025-07-10 02:06,0.40,1.55,29.62,,0.36,1.42
2025-07-10 02:07,0.44,1.55,29.62,2.30,0.36,
2025-07-10 02:08,0.44,1.55,29.62,,0.36,1.42
2025-07-10 02:09,0.48,1.55,29.62,3.01,0.36,1.42
2025-07-10 02:10,0.54,1.55,29.62,3.63,,1.42
2025-07-10 02:11,0.54,1.55,29.62,3.63,0.36,1.42
2025-07-10 02:12,0.54,1.55,29.62,,,1.42
2025-07-10 02:13,0.54,1.69,29.62,,0.36,1.42
2025-07-10 02:14,0.54,1.85,29.62,,,1.42
2025-07-10 02:15,0.54,1.85,29.62,,0.36,1.42
2025-07-10 02:16,,1.85,29.62,,,1.42
2025-07-10 02:17,0.54,1.85,29.62,,,1.42
2025-07-10 02:18,0.54,2.02,29.62,,0.36,1.42
2025-07-10 02:19,0.54,2.02,29.62,,0.36,1.42
2025-07-10 02:20,,2.06,29.62,,0.36,1.42
2025-07-10 02:21,0.54,2.06,29.62,,0.36,1.42
2025-07-10 02:22,,2.06,29.62,,0.36,1.42
2025-07-10 02:23,,2.06,29.62,,0.36,1.42
2025-07-10 02:24,0.54,2.06,29.62,,0.36,1.42
2025-07-10 02:25,,2.06,29.62,,0.36,1.42
2025-07-10 02:26,0.54,2.06,29.62,,0.36,1.42
2025-07-10 02:27,,2.29,29.62,,0.36,1.42
2025-07-10 02:28,0.54,2.29,29.62,3.63,,1.42
2025-07-10 02:29,0.54,2.57,29.62,,0.36,1.42
2025-07-10 02:30,0.54,2.57,29.62,,0.36,1.42
2025-07-10 02:31,0.54,2.67,29.62,,0.36,
2025-07-10 02:32,,2.67,29.62,,0.36,1.42
2025-07-10 02:33,0.54,2.67,29.62,3.63,0.36,1.42
2025-07-10 02:34,0.54,2.89,29.62,3.63,0.36,1.42
2025-07-10 02:35,0.54,2.89,29.62,,0.36,1.42
2025-07-10 02:36,0.54,2.89,29.62,3.63,0.36,1.42
2025-07-10 02:37,0.54,2.89,29.62,3.63,0.36,1.42
2025-07-10 02:38,0.54,2.89,29.62,,0.36,1.42
2025-07-10 02:39,0.54,2.89,,,0.36,1.42
2025-07-10 02:40,,3.24,29.62,,0.36,1.42
2025-07-10 02:41,0.54,3.24,29.62,,0.36,1.42
2025-07-10 02:42,,3.24,29.62,,,1.42
2025-07-10 02:43,0.54,3.24,29.62,3.63,,1.42
2025-07-10 02:44,0.54,3.24,29.62,,0.36,1.42
2025-07-10 02:45,0.54,3.24,29.62,,0.36,1.42
2025-07-10 02:46,0.54,3.24,29.62,,,
2025-07-10 02:47,0.54,3.24,29.62,,0.36,1.42
2025-07-10 02:48,,3.24,29.62,,,1.42
2025-07-10 02:49,,3.24,29.62,,0.36,1.42
2025-07-10 02:50,,3.24,29.62,,,1.42
2025-07-10 02:51,0.54,3.24,29.62,,,1.42
2025-07-10 02:52,,3.24,29.62,,0.36,1.42
2025-07-10 02:53,0.54,3.24,29.62,,0.36,1.42
2025-07-10 02:54,0.54,3.24,29.62,,,1.42
2025-07-10 02:55,0.54,3.24,29.62,,,1.42
2025-07-10 02:56,0.54,3.24,29.62,,0.36,1.42
2025-07-10 02:57,,3.24,29.62,,0.36,1.42
2025-07-10 02:58,,3.24,29.62,,0.36,
2025-07-10 02:59,,3.24,29.62,,0.36,1.42
2025-07-10 03:00,,3.24,29.62,,0.36,1.42
2025-07-10 03:01,0.54,3.24,29.62,,0.36,1.42
2025-07-10 03:02,,3.24,29.62,,0.36,1.42
2025-07-10 03:03,,3.24,29.62,,0.36,1.42
2025-07-10 03:04,0.54,3.24,29.62,,0.36,1.42
2025-07-10 03:05,,3.24,29.62,,0.36,1.42
2025-07-10 03:06,0.54,3.24,29.62,,,1.42
2025-07-10 03:07,0.54,3.24,29.62,,0.36,1.42
2025-07-10 03:08,0.54,3.24,29.62,,0.36,1.45
2025-07-10 03:09,,3.24,29.62,,0.36,1.45
2025-07-10 03:10,,3.24,29.62,,,1.45
2025-07-10 03:11,0.54,3.24,29.62,3.63,0.36,1.45
2025-07-10 03:12,0.54,3.24,29.62,,0.40,1.51
2025-07-10 03:13,,3.24,29.62,,0.40,1.51
2025-07-10 03:14,0.54,3.24,29.62,,0.42,1.51
2025-07-10 03:15,,3.24,,,0.42,1.51
2025-07-10 03:16,,3.24,29.62,,0.42,
2025-07-10 03:17,0.54,3.24,29.62,,0.42,1.51
