datetime, rank
15/07/2025 00:00:00,0.23
15/07/2025 00:01:00,0.95
15/07/2025 00:02:00,0.73
15/07/2025 00:03:00,0.62
15/07/2025 00:04:00,0.39
15/07/2025 00:05:00,0.27
15/07/2025 00:06:00,0.37
15/07/2025 00:07:00,0.38
15/07/2025 00:08:00,0.45
15/07/2025 00:09:00,0.54
15/07/2025 00:10:00,0.57
15/07/2025 00:11:00,0.56
15/07/2025 00:12:00,0.56
15/07/2025 00:13:00,1.03
15/07/2025 00:14:00,0.82
15/07/2025 00:15:00,0.82
15/07/2025 00:16:00,0.80
15/07/2025 00:17:00,0.73
15/07/2025 00:18:00,0.65
15/07/2025 00:19:00,0.60
15/07/2025 00:20:00,0.62
15/07/2025 00:21:00,0.60
15/07/2025 00:22:00,0.72
15/07/2025 00:23:00,0.66
15/07/2025 00:24:00,0.74
15/07/2025 00:25:00,0.61
15/07/2025 00:26:00,0.52
15/07/2025 00:27:00,0.51
15/07/2025 00:28:00,0.54
15/07/2025 00:29:00,0.45
15/07/2025 00:30:00,0.41
15/07/2025 00:31:00,0.40
15/07/2025 00:32:00,0.42
15/07/2025 00:33:00,0.60
15/07/2025 00:34:00,0.40
15/07/2025 00:35:00,0.39
15/07/2025 00:36:00,0.46
15/07/2025 00:37:00,0.48
15/07/2025 00:38:00,0.49
15/07/2025 00:39:00,0.59
15/07/2025 00:40:00,0.63
15/07/2025 00:41:00,0.74
15/07/2025 00:42:00,0.77
15/07/2025 00:43:00,0.77
15/07/2025 00:44:00,0.76
15/07/2025 00:45:00,0.76
15/07/2025 00:46:00,0.96
15/07/2025 00:47:00,1.03
15/07/2025 00:48:00,0.72
15/07/2025 00:49:00,0.78
15/07/2025 00:50:00,0.62
15/07/2025 00:51:00,0.69
15/07/2025 00:52:00,0.68
15/07/2025 00:53:00,0.68
15/07/2025 00:54:00,0.63
15/07/2025 00:55:00,0.55
15/07/2025 00:56:00,0.58
15/07/2025 00:57:00,0.58
15/07/2025 00:58:00,0.51
15/07/2025 01:00:00,0.63
15/07/2025 01:01:00,0.77
15/07/2025 01:02:00,0.87
15/07/2025 01:03:00,0.67
15/07/2025 01:04:00,1.02
15/07/2025 01:05:00,1.11
15/07/2025 01:06:00,1.37
15/07/2025 01:07:00,1.18
15/07/2025 01:08:00,1.17
15/07/2025 01:09:00,1.22
15/07/2025 01:10:00,1.32
15/07/2025 01:11:00,1.60
15/07/2025 01:12:00,1.82
15/07/2025 01:13:00,1.22
15/07/2025 01:14:00,1.55
15/07/2025 01:15:00,1.44
15/07/2025 01:16:00,1.74
15/07/2025 01:17:00,1.86
15/07/2025 01:18:00,1.67
15/07/2025 01:19:00,1.84
15/07/2025 01:20:00,1.76
15/07/2025 01:21:00,1.93
15/07/2025 01:22:00,1.94
15/07/2025 01:23:00,2.20
15/07/2025 01:24:00,2.13
15/07/2025 01:25:00,2.13
15/07/2025 01:26:00,2.15
15/07/2025 01:27:00,2.17
15/07/2025 01:28:00,2.23
15/07/2025 01:29:00,2.31
15/07/2025 01:30:00,2.25
15/07/2025 01:31:00,2.25
15/07/2025 01:32:00,2.37
15/07/2025 01:33:00,2.51
15/07/2025 01:34:00,2.38
15/07/2025 01:35:00,2.11
15/07/2025 01:36:00,2.18
15/07/2025 01:37:00,1.74
15/07/2025 01:38:00,1.92
15/07/2025 01:39:00,1.99
15/07/2025 01:40:00,1.71
15/07/2025 01:41:00,1.65
15/07/2025 01:42:00,1.95
15/07/2025 01:43:00,1.94
15/07/2025 01:44:00,2.00
15/07/2025 01:45:00,1.81
15/07/2025 01:46:00,1.83
15/07/2025 01:47:00,2.98
15/07/2025 01:48:00,3.17
15/07/2025 01:49:00,2.96
15/07/2025 01:50:00,2.78
15/07/2025 01:51:00,2.21
15/07/2025 01:52:00,1.94
15/07/2025 01:53:00,1.83
15/07/2025 01:54:00,1.36
15/07/2025 01:55:00,1.65
15/07/2025 01:56:00,1.65
15/07/2025 01:57:00,2.24
15/07/2025 01:58:00,2.61
15/07/2025 01:59:00,2.74
15/07/2025 02:00:00,2.58
15/07/2025 02:01:00,2.55
15/07/2025 02:02:00,3.08
15/07/2025 02:03:00,3.03
15/07/2025 02:04:00,2.98
15/07/2025 02:05:00,2.74
15/07/2025 02:06:00,2.74
15/07/2025 02:07:00,2.85
15/07/2025 02:08:00,3.11
15/07/2025 02:09:00,2.56
15/07/2025 02:10:00,2.57
15/07/2025 02:11:00,2.50
15/07/2025 02:12:00,2.90
15/07/2025 02:13:00,2.89
15/07/2025 02:14:00,3.06
15/07/2025 02:15:00,3.61
15/07/2025 02:16:00,2.74
15/07/2025 02:17:00,3.06
15/07/2025 02:18:00,3.79
15/07/2025 02:19:00,3.23
15/07/2025 02:20:00,3.31
15/07/2025 02:21:00,3.38
15/07/2025 02:22:00,3.37
15/07/2025 02:23:00,3.63
15/07/2025 02:24:00,3.54
15/07/2025 02:25:00,3.20
15/07/2025 02:26:00,2.79
15/07/2025 02:27:00,2.80
15/07/2025 02:28:00,2.91
15/07/2025 02:29:00,2.58
15/07/2025 02:30:00,2.65
15/07/2025 02:31:00,3.33
15/07/2025 02:32:00,3.99
15/07/2025 02:33:00,4.62
15/07/2025 02:34:00,4.56
15/07/2025 02:35:00,3.76
15/07/2025 02:36:00,4.15
15/07/2025 02:37:00,4.05
15/07/2025 02:38:00,4.35
15/07/2025 02:39:00,3.95
15/07/2025 02:40:00,4.16
15/07/2025 02:41:00,4.06
15/07/2025 02:42:00,4.39
15/07/2025 02:43:00,3.49
15/07/2025 02:44:00,1.96
15/07/2025 02:45:00,2.11
15/07/2025 02:46:00,2.12
15/07/2025 02:47:00,2.20
15/07/2025 02:48:00,2.93
15/07/2025 02:49:00,2.93
15/07/2025 02:50:00,2.60
15/07/2025 02:51:00,2.36
15/07/2025 02:52:00,2.45
15/07/2025 02:53:00,2.30
15/07/2025 02:54:00,2.39
15/07/2025 02:55:00,2.16
15/07/2025 02:56:00,2.17
15/07/2025 02:57:00,2.24
15/07/2025 02:58:00,2.24
15/07/2025 02:59:00,1.94
15/07/2025 03:00:00,2.54
15/07/2025 03:01:00,2.16
15/07/2025 03:02:00,2.09
15/07/2025 03:03:00,2.09
15/07/2025 03:04:00,2.90
15/07/2025 03:05:00,2.41
15/07/2025 03:06:00,2.34
15/07/2025 03:07:00,2.28
15/07/2025 03:08:00,2.45
15/07/2025 03:09:00,2.38
15/07/2025 03:10:00,4.04
15/07/2025 03:11:00,4.59
15/07/2025 03:12:00,4.27
