datetime,CL,NG,PL
2025-07-20 23:01,-0.14,-0.45,-0.07
2025-07-20 23:02,-0.09,-0.43,-0.12
2025-07-20 23:03,0.12,-0.67,-0.11
2025-07-20 23:04,0.09,-0.50,-0.08
2025-07-20 23:05,0.08,-0.44,-0.10
2025-07-20 23:06,0.09,-0.45,-0.09
2025-07-20 23:07,0.12,-0.54,-0.09
2025-07-20 23:08,0.14,-0.54,-0.12
2025-07-20 23:09,0.15,-0.59,-0.19
2025-07-20 23:10,0.11,-0.64,-0.19
2025-07-20 23:11,0.11,-0.63,-0.16
2025-07-20 23:12,0.12,-0.57,-0.15
2025-07-20 23:13,0.12,-0.57,-0.14
2025-07-20 23:14,0.11,-0.54,-0.11
2025-07-20 23:15,0.15,-0.55,-0.12
2025-07-20 23:16,0.13,-0.59,-0.12
2025-07-20 23:17,0.13,-0.63,
2025-07-20 23:18,0.13,-0.63,-0.10
2025-07-20 23:19,0.14,-0.60,-0.14
2025-07-20 23:20,0.13,-0.68,-0.17
2025-07-20 23:21,0.13,-0.60,-0.17
2025-07-20 23:22,0.14,-0.63,-0.15
2025-07-20 23:23,0.15,-0.64,-0.14
2025-07-20 23:24,0.15,-0.64,-0.14
2025-07-20 23:25,0.15,-0.61,-0.12
2025-07-20 23:26,0.16,-0.61,-0.11
2025-07-20 23:27,0.18,-0.63,-0.10
2025-07-20 23:28,0.15,-0.63,-0.10
2025-07-20 23:29,0.16,-0.67,-0.08
2025-07-20 23:30,0.16,-0.66,-0.09
2025-07-20 23:31,0.15,-0.66,-0.10
2025-07-20 23:32,0.15,-0.61,
2025-07-20 23:33,0.16,-0.61,-0.09
2025-07-20 23:34,0.15,-0.59,-0.08
2025-07-20 23:35,0.14,-0.60,0.08
2025-07-20 23:36,0.13,-0.59,-0.08
2025-07-20 23:37,,-0.59,
2025-07-20 23:38,0.13,-0.63,-0.08
2025-07-20 23:39,0.13,-0.60,
2025-07-20 23:40,0.14,-0.60,0.11
2025-07-20 23:41,,-0.63,0.09
2025-07-20 23:42,,-0.61,0.09
2025-07-20 23:43,0.13,-0.63,0.10
2025-07-20 23:44,0.13,-0.64,0.09
2025-07-20 23:45,0.14,-0.64,0.10
2025-07-20 23:46,0.14,-0.67,0.09
2025-07-20 23:47,,-0.68,-0.08
2025-07-20 23:48,0.14,-0.68,-0.09
2025-07-20 23:49,0.16,-0.68,-0.10
2025-07-20 23:50,0.15,-0.68,
2025-07-20 23:51,0.14,-0.68,-0.10
2025-07-20 23:52,0.14,-0.67,
2025-07-20 23:53,,-0.67,-0.08
2025-07-20 23:54,0.16,-0.68,0.09
2025-07-20 23:55,0.18,-0.67,0.09
2025-07-20 23:56,0.16,-0.68,0.09
2025-07-20 23:57,0.17,-0.67,0.10
2025-07-20 23:58,0.16,-0.67,
2025-07-20 23:59,,-0.66,
