datetime,CL-H,GC-H,HG-H,HO-H,NG-H,PL-H,CL-L,GC-L,HG-L,HO-L,NG-L,PL-L
2025_06_19,0.77,0.4,0.62,0.27,0.15,0.18,-0.52,-0.79,-0.28,-0.16,-0.19,-0.17
2025_06_20,2.88,25.1,10.87,3.45,0.66,1.24,-3.96,-17.71,-5.01,-11.0,-15.68,-25.31
2025_06_22,-1.12,-1.54,2.5,15.97,-0.2,-0.11,-11.8,-11.93,-1.23,-21.78,-0.47,-1.93
2025_06_23,2.98,70.0,10.91,1.14,0.44,13.38,-618.66,-55.23,-2.32,-1588.82,-8.07,-0.97
2025_06_24,11.8,10.53,6.13,16.68,0.97,15.12,-19.76,-163.39,-8.16,-17.35,-1.71,-6.31
2025_06_25,1.56,9.24,3.83,3.67,0.26,31.05,-1.21,-10.41,-2.94,-2.92,-2.12,-2.98
2025_06_26,2.42,12.33,19.02,8.96,1.83,41.83,-1.44,-43.0,-0.99,-2.6,-3.6,-5.95
2025_06_27,0.77,0.85,8.29,0.26,6.37,0.33,-1.28,-210.56,-10.6,-12.78,-0.01,-107.66
2025_06_29,0.15,10.41,0.59,0.2,-0.21,0.62,-0.3,-49.54,-1.12,-0.19,-0.7,-1.19
2025_06_30,2.01,107.58,1.78,5.04,0.21,7.89,-1.4,-6.72,-3.17,-0.46,-9.26,-16.07
2025_07_01,1.75,76.67,10.11,7.24,1.82,4.57,-0.98,-0.64,-9.48,-1.73,-2.72,-4.99
2025_07_02,4.42,37.92,15.53,11.53,2.09,63.66,-1.55,-3.36,-0.91,-1.16,-0.78,-0.69
2025_07_03,1.07,6.63,1.27,2.12,1.19,1.46,-1.26,-91.25,-3.95,-4.44,-3.07,-34.5
2025_07_04,0.69,4.56,0.59,7.37,0.45,1.97,-1.53,-1.88,-9.23,-2.41,-0.62,-0.73
2025_07_06,0.83,0.98,0.89,0.65,0.11,0.34,-0.53,-1.05,-0.52,-0.1,-0.11,-0.34
2025_07_07,6.18,81.34,2.28,5.43,3.9,2.95,-0.72,-38.5,-5.77,-4.73,-0.63,-17.65
2025_07_08,2.23,1.35,4964.21,7.19,0.94,6.45,-1.03,-97.57,-964.02,-0.82,-1.83,-8.28
2025_07_09,1.04,34.86,139.33,1.53,0.43,1.33,-1.24,-11.03,-180.0,-10.13,-4.7,-5.15
2025_07_10,0.83,2.77,20.18,0.99,4.83,17.83,-5.05,-5.0,-14.48,-6.68,-0.42,-3.39
2025_07_11,5.21,70.0,14.57,28.31,1.0,33.09,-0.5,-1.59,-19.64,-0.99,-1.42,-0.69
2025_07_13,0.22,1.11,0.89,0.41,0.27,-0.11,-0.33,-0.86,-1.02,-0.54,-0.17,-0.56
2025_07_14,0.06,0.3,1.89,0.05,0.05,-0.01,-0.03,-0.18,-1.4,-0.03,-0.05,-0.2
2025_07_15,0.03,0.25,0.26,0.05,0.05,0.06,-0.02,-0.08,-0.34,-0.03,-0.02,-0.07
2025_07_16,1.25,128.96,6.19,3.22,0.88,4.64,-1.77,-48.19,-7.37,-6.76,-1.17,-0.93
2025_07_17,1.58,28.04,2.83,19.59,1.06,31.58,-0.57,-44.58,-3.17,-0.59,-1.33,-0.95
2025_07_18,1.79,17.71,9.13,66.77,1.17,2.71,-2.46,-1.51,-4.91,-83.33,-1.61,-11.5
2025_07_20,0.18,0.21,-0.62,0.29,-0.43,0.11,-0.14,-0.44,-1.29,-0.28,-0.68,-0.19
2025_07_21,0.26,11.67,7.85,0.6,0.18,1.02,-0.81,-0.77,-3.17,-1.67,-0.27,-0.43
