datetime, ask_open, ask_high, ask_low, ask_close, bid_open, bid_high, bid_low, bid_close
datetime, ask_open, ask_high, ask_low, ask_close, bid_open, bid_high, bid_low, bid_close
05/05/2025 08:10:39,3269.60,3270.10,3269.10,3270.00,3269.30,3269.80,3268.80,3269.80
datetime, ask_open, ask_high, ask_low, ask_close, bid_open, bid_high, bid_low, bid_close
05/05/2025 08:11:27,3271.00,3271.00,3271.00,3271.00,3270.70,3270.70,3270.70,3270.70
05/05/2025 08:12:20,3271.00,3271.00,3270.20,3270.20,3270.70,3270.70,3269.90,3269.90
05/05/2025 08:13:03,3270.00,3271.00,3269.70,3271.00,3269.70,3270.90,3269.60,3270.70
05/05/2025 08:13:56,3271.00,3271.80,3271.00,3271.80,3270.70,3271.60,3270.70,3271.50
05/05/2025 08:14:14,3271.80,3272.10,3271.00,3271.00,3271.50,3271.80,3270.70,3270.70
05/05/2025 08:14:47,3271.00,3271.10,3270.00,3270.00,3270.70,3270.80,3269.70,3269.70
05/05/2025 08:15:27,3270.00,3270.00,3269.30,3269.80,3269.70,3269.70,3269.00,3269.50
05/05/2025 08:15:55,3269.80,3270.00,3269.10,3270.00,3269.50,3269.70,3268.80,3269.70
05/05/2025 08:17:17,3270.00,3270.30,3269.00,3269.00,3269.70,3270.00,3268.80,3268.80
05/05/2025 08:17:20,3269.00,3269.60,3268.80,3269.60,3268.80,3269.30,3268.50,3269.30
05/05/2025 08:18:37,3270.00,3271.00,3269.90,3271.00,3269.80,3270.70,3269.60,3270.70
05/05/2025 08:19:07,3271.00,3272.00,3271.00,3271.90,3270.70,3271.80,3270.70,3271.70
05/05/2025 08:19:15,3271.90,3272.00,3271.90,3272.00,3271.70,3271.70,3271.70,3271.70
05/05/2025 08:19:58,3272.00,3272.00,3270.80,3272.00,3271.70,3271.70,3270.50,3271.70
05/05/2025 08:21:13,3272.00,3272.70,3271.00,3271.10,3271.70,3272.40,3270.70,3270.80
05/05/2025 08:29:03,3271.10,3271.90,3270.00,3270.00,3270.80,3271.60,3269.70,3269.80
05/05/2025 08:30:03,3269.80,3270.50,3268.90,3268.90,3269.60,3270.30,3268.60,3268.60
05/05/2025 08:31:29,3268.90,3270.00,3268.70,3270.00,3268.60,3269.90,3268.40,3269.90
05/05/2025 08:33:18,3270.00,3270.60,3269.10,3269.10,3269.90,3270.40,3268.80,3268.80
05/05/2025 08:33:53,3269.10,3269.80,3269.10,3269.80,3268.80,3269.50,3268.80,3269.50
datetime, ask_open, ask_high, ask_low, ask_close, bid_open, bid_high, bid_low, bid_close
05/05/2025 08:36:07,3270.60,3270.60,3270.60,3270.60,3270.50,3270.50,3270.50,3270.50
datetime, ask_open, ask_high, ask_low, ask_close, bid_open, bid_high, bid_low, bid_close
05/05/2025 08:36:07,3270.60,3270.60,3270.60,3270.60,3270.50,3270.50,3270.50,3270.50
05/05/2025 08:37:38,3270.60,3271.20,3269.90,3269.90,3270.50,3270.90,3269.60,3269.60
05/05/2025 08:37:38,3270.60,3271.20,3269.90,3269.90,3270.50,3270.90,3269.60,3269.60
05/05/2025 08:38:20,3270.00,3271.50,3269.70,3271.50,3269.70,3271.30,3269.40,3271.30
05/05/2025 08:38:20,3270.00,3271.50,3269.70,3271.50,3269.70,3271.30,3269.40,3271.30
datetime, ask_open, ask_high, ask_low, ask_close, bid_open, bid_high, bid_low, bid_close
05/05/2025 08:38:20,3271.70,3271.70,3271.70,3271.70,3271.50,3271.50,3271.50,3271.50
datetime, ask_open, ask_high, ask_low, ask_close, bid_open, bid_high, bid_low, bid_close
05/05/2025 08:38:20,3271.70,3271.70,3271.70,3271.70,3271.50,3271.50,3271.50,3271.50
05/05/2025 08:39:10,3271.70,3272.00,3271.70,3272.00,3271.50,3271.80,3271.50,3271.80
05/05/2025 08:39:10,3271.70,3272.00,3271.70,3272.00,3271.50,3271.80,3271.50,3271.80
datetime, ask_open, ask_high, ask_low, ask_close, bid_open, bid_high, bid_low, bid_close
05/05/2025 08:39:10,3272.30,3272.30,3272.30,3272.30,3272.10,3272.10,3272.10,3272.10
datetime, ask_open, ask_high, ask_low, ask_close, bid_open, bid_high, bid_low, bid_close
05/05/2025 08:39:10,3272.30,3272.30,3272.30,3272.30,3272.10,3272.10,3272.10,3272.10
05/05/2025 08:41:51,3272.30,3273.00,3271.30,3273.00,3272.10,3272.80,3271.10,3272.80
05/05/2025 08:41:51,3272.30,3273.00,3271.30,3273.00,3272.10,3272.80,3271.10,3272.80
05/05/2025 08:43:56,3273.00,3274.00,3273.00,3274.00,3272.80,3273.80,3272.80,3273.80
05/05/2025 08:43:56,3273.00,3274.00,3273.00,3274.00,3272.80,3273.80,3272.80,3273.80
05/05/2025 08:44:33,3274.00,3274.40,3273.10,3273.10,3273.80,3274.20,3272.80,3272.80
05/05/2025 08:44:33,3274.00,3274.40,3273.10,3273.10,3273.80,3274.20,3272.80,3272.80
05/05/2025 08:47:10,3273.00,3274.00,3272.30,3274.00,3272.70,3273.70,3272.10,3273.70
05/05/2025 08:47:10,3273.00,3274.00,3272.30,3274.00,3272.70,3273.70,3272.10,3273.70
05/05/2025 08:47:35,3274.00,3274.30,3273.20,3273.20,3273.70,3274.10,3273.00,3273.00
05/05/2025 08:47:35,3274.00,3274.30,3273.20,3273.20,3273.70,3274.10,3273.00,3273.00
05/05/2025 08:48:09,3273.20,3273.80,3272.60,3272.80,3273.00,3273.50,3272.40,3272.60
05/05/2025 08:48:09,3273.20,3273.80,3272.60,3272.80,3273.00,3273.50,3272.40,3272.60
05/05/2025 08:48:21,3272.80,3272.80,3271.90,3272.40,3272.60,3272.60,3271.70,3272.10
05/05/2025 08:48:21,3272.80,3272.80,3271.90,3272.40,3272.60,3272.60,3271.70,3272.10
05/05/2025 08:48:22,3272.40,3273.90,3272.40,3273.90,3272.10,3273.70,3272.10,3273.70
05/05/2025 08:48:22,3272.40,3273.90,3272.40,3273.90,3272.10,3273.70,3272.10,3273.70
05/05/2025 08:48:24,3273.90,3274.90,3273.90,3274.80,3273.70,3274.60,3273.70,3274.50
05/05/2025 08:48:24,3273.90,3274.90,3273.90,3274.80,3273.70,3274.60,3273.70,3274.50
05/05/2025 08:50:40,3274.80,3276.00,3274.80,3276.00,3274.50,3275.80,3274.50,3275.80
05/05/2025 08:50:40,3274.80,3276.00,3274.80,3276.00,3274.50,3275.80,3274.50,3275.80
05/05/2025 08:51:00,3276.00,3276.00,3275.10,3275.10,3275.80,3275.80,3274.90,3274.90
05/05/2025 08:51:00,3276.00,3276.00,3275.10,3275.10,3275.80,3275.80,3274.90,3274.90
05/05/2025 08:51:34,3274.80,3275.10,3274.20,3274.20,3274.60,3274.90,3274.00,3274.00
05/05/2025 08:51:34,3274.80,3275.10,3274.20,3274.20,3274.60,3274.90,3274.00,3274.00
05/05/2025 08:52:25,3273.90,3274.90,3273.70,3274.90,3273.70,3274.70,3273.40,3274.70
05/05/2025 08:52:25,3273.90,3274.90,3273.70,3274.90,3273.70,3274.70,3273.40,3274.70
05/05/2025 08:52:45,3275.10,3275.10,3274.10,3274.10,3274.80,3274.80,3273.90,3273.90
05/05/2025 08:52:45,3275.10,3275.10,3274.10,3274.10,3274.80,3274.80,3273.90,3273.90
05/05/2025 08:53:51,3274.10,3274.80,3273.50,3274.70,3273.90,3274.60,3273.20,3274.50
05/05/2025 08:53:51,3274.10,3274.80,3273.50,3274.70,3273.90,3274.60,3273.20,3274.50
05/05/2025 08:54:54,3274.70,3275.60,3274.00,3274.10,3274.50,3275.40,3273.80,3273.90
05/05/2025 08:54:54,3274.70,3275.60,3274.00,3274.10,3274.50,3275.40,3273.80,3273.90
05/05/2025 08:57:38,3274.10,3274.40,3273.00,3273.00,3273.90,3274.20,3272.70,3272.70
05/05/2025 08:57:38,3274.10,3274.40,3273.00,3273.00,3273.90,3274.20,3272.70,3272.70
datetime, ask_open, ask_high, ask_low, ask_close, bid_open, bid_high, bid_low, bid_close
datetime, ask_open, ask_high, ask_low, ask_close, bid_open, bid_high, bid_low, bid_close
datetime, ask_open, ask_high, ask_low, ask_close, bid_open, bid_high, bid_low, bid_close
05/05/2025 16:18:57,3322.30,3322.50,3321.90,3322.50,3322.00,3322.20,3321.70,3322.20
datetime, ask_open, ask_high, ask_low, ask_close, bid_open, bid_high, bid_low, bid_close
datetime, ask_open, ask_high, ask_low, ask_close, bid_open, bid_high, bid_low, bid_close
datetime, ask_open, ask_high, ask_low, ask_close, bid_open, bid_high, bid_low, bid_close
datetime, ask_open, ask_high, ask_low, ask_close, bid_open, bid_high, bid_low, bid_close
05/05/2025 16:20:06,3322.40,3322.40,3321.50,3321.50,3322.10,3322.20,3321.30,3321.30
05/05/2025 16:20:12,3321.50,3321.50,3320.70,3320.70,3321.30,3321.30,3320.50,3320.50
05/05/2025 16:20:34,3320.70,3321.70,3320.10,3321.70,3320.50,3321.50,3319.90,3321.50
